正面,背面
No encuentro mi libro de español en la mochila.,我在书包里怎么也找不到我的西语书。
"Hay muchos libros en la mesa, pero el rojo es el mío.",桌上有很多书，但红色那本是我的。
—¿De quién es este cuaderno? —El mío.,——这是谁的练习本？——是我的。
Te veo todos los días en la biblioteca por la tarde.,我每天下午都在图书馆看到你。
Mañana te voy a ver en el café de siempre a las cinco.,明天下午五点，我会在老地方那家咖啡馆见你。
Esta noche voy a verte en el concierto.,今晚在音乐会上我会见到你。
"Aunque a veces discutimos, la quiero a Ana con todo mi corazón.",虽然我们偶尔吵架，但我还是打心底里爱安娜。
Cada mes le doy un libro nuevo a mi hermano para que lea más.,我每个月都会给弟弟一本新书，让他多读点书。
En su cumpleaños le doy un libro a Juan sobre fotografía.,在胡安生日那天，我送了他一本关于摄影的书。
Me lavo la cara todas las mañanas antes de tomar café.,我每天早上喝咖啡之前都会先洗脸。
"Para mí, aprender idiomas es la mejor manera de viajar sin moverse.",对我来说，学语言是不出门也能旅行的最好方式。
Mi hermano es muy alto y es muy simpático.,我弟弟个子很高，人也很好。
Mi madre es profesora y mi padre es médico.,我妈妈是老师，我爸爸是医生。
"Paco es de Londres, pero ahora vive en Madrid.",帕科是伦敦人，但现在住在马德里。
Ese libro es de Paco; siempre lo trae a clase.,那本书是帕科的，他每次上课都带。
La mesa es de madera y la silla es de metal.,桌子是木头的，椅子是金属的。
Aprender un idioma nuevo es de gran importancia para mi trabajo.,学一门新语言对我的工作非常重要。
Hoy estoy muy cansado porque he trabajado todo el día.,今天我很累，因为我工作了一整天。
La ventana está abierta porque hace calor.,因为很热，所以窗户开着。
—¿Dónde está Marta? —Está en la cocina preparando la cena.,——玛尔塔在哪儿？——她在厨房准备晚饭。
¿Dónde está mi móvil? Está en la mesa del salón.,我的手机在哪儿？在客厅的桌子上。
Estamos a 15 de mayo de 2026 y todavía hace frío por la noche.,今天是 2026 年 5 月 15 日，晚上还挺冷的。
"Este café está muy caliente, ten cuidado.",这杯咖啡很烫，小心。
Esa casa blanca es donde vive mi profesora.,那栋白房子是我老师住的地方。
Aquellos edificios altos son oficinas modernas.,那些高楼是现代化的办公楼。
"¿Cuál prefieres, éste o ése?",你更喜欢这个还是那个？
"Ésos son mis compañeros de trabajo, los de allí.",那边那些人是我的同事们。
Aquél de la chaqueta roja es mi hermano.,穿红色夹克的那位是我哥哥。
¿Qué es esto que has dejado en mi mesa?,你放在我桌上的是什么？
Eso que dices no es verdad.,你说的那不是真的。
Aquello fue lo más difícil de mi vida.,那是我一生中最难的事。
"Ven, siéntate aquí a mi lado.",来，坐在我旁边。
"Pon el ordenador ahí, cerca de la ventana.",把电脑放在那儿，靠窗。
"Vivimos allí, en ese edificio alto del centro.",我们住在那儿，市中心那栋高楼里。
